club_id,club_name,stadium_name,country,league_id,lat,lon,geo_query,dist_km,flag
1082,Lille,Decathlon Arena-Stade Pierre-Mauroy,France,FR1,50.6119044,3.130508,"Decathlon Arena-Stade Pierre-Mauroy, Lille, France",5.463003435575654,FALSE
1041,Lyon,Groupama Stadium,France,FR1,45.7653624,4.9820543,"Groupama Stadium, Lyon, France",11.669749808757452,FALSE
244,Marseille,Orange Vélodrome,France,FR1,43.2698363,5.3959117,"Orange Vélodrome, Marseille, France",3.2978462038757503,FALSE
162,Monaco,Stade Louis-II,France,FR1,42.2803146,9.4304477,"Monaco, France",0,FALSE
969,Montpellier,Stade de la Mosson,France,FR1,43.622022,3.8120898,"Stade de la Mosson, Montpellier, France",5.340224503282506,FALSE
417,Nice,Allianz Riviera,France,FR1,43.7051477,7.1926033,"Allianz Riviera, Nice, France",6.1102763189552265,FALSE
1160,Nîmes Olympique,Stade des Antonins,France,FR1,43.8156,4.3589,reczna korekta,0,FALSE
583,PSG,Parc des Princes,France,FR1,48.8715278,2.3032604,"PSG, France",0,FALSE
10004,Paris FC,Stade Jean Bouin,France,FR1,48.8534951,2.3483915,"Paris FC, France",0,FALSE
667,R. Strasbourg,Stade de la Meinau,France,FR1,48.561393,7.7643726,"Stade de la Meinau, R. Strasbourg, France",2.7707521296954587,FALSE
595,SC Bastia,Stade Armand-Cesari,France,FR1,42.6526498,9.4421489,"SC Bastia, France",0,FALSE
1162,SM Caen,Stade Michel-d'Ornano,France,FR1,49.179,-0.3927,reczna korekta,0,FALSE
618,Saint-Étienne,Stade Geoffroy-Guichard,France,FR1,45.4607567,4.3900932,"Stade Geoffroy-Guichard, Saint-Étienne, France",2.302019177662842,FALSE
3911,Stade Brestois,Stade Francis-Le Blé,France,FR1,48.4276292,-4.4699827,"Stade Brestois, France",0,FALSE
1421,Stade Reims,Stade Auguste-Delaune,France,FR1,49.2470758,4.0247869,"Stade Auguste-Delaune, Stade Reims, France",4.427290430283415,FALSE
273,Stade Rennais,Roazhon Park,France,FR1,47.6359676,-2.9575816,"Stade Rennais, France",0,FALSE
415,Toulouse,Stadium Municipal,France,FR1,43.6367959,1.4015269,"Stadium Municipal, Toulouse, France",4.9748038913333295,FALSE
1095,Troyes,Stade de l'Aube,France,FR1,48.3075171,4.0985168,"Stade de l'Aube, Troyes, France",2.109138434221056,FALSE
1423,Valenciennes FC,Stade du Hainaut,France,FR1,50.3579317,3.5234846,"Valenciennes FC, France",0,FALSE
3,1.FC Köln,RheinEnergieSTADION,Germany,L1,50.938361,6.959974,"1.FC Köln, Germany",0,FALSE
4,1.FC Nuremberg,Max-Morlock-Stadion,Germany,L1,49.453872,11.077298,"1.FC Nuremberg, Germany",0,FALSE
10,Arm. Bielefeld,SchücoArena,Germany,L1,52.0314,8.5167,reczna korekta,0,FALSE
167,Augsburg,WWK ARENA,Germany,L1,48.3231179,10.885879,"WWK ARENA, Augsburg, Germany",5.183025991483444,FALSE
27,Bayern Munich,Allianz Arena,Germany,L1,48.2187901,11.6236227,"Allianz Arena, Bayern Munich, Germany",8.200981059943445,FALSE
105,Darmstadt 98,Merck-Stadion am Böllenfalltor,Germany,L1,49.872775,8.651177,"Darmstadt 98, Germany",0,FALSE
16,Dortmund,SIGNAL IDUNA PARK,Germany,L1,51.4924922,7.4518549,"SIGNAL IDUNA PARK, Dortmund, Germany",2.589284699780414,FALSE
23,E. Braunschweig,EINTRACHT-Stadion,Germany,L1,52.2646577,10.5236066,"E. Braunschweig, Germany",0,FALSE
38,F. Düsseldorf,MERKUR SPIEL-ARENA,Germany,L1,51.2254018,6.7763137,"F. Düsseldorf, Germany",0,FALSE
4795,FC Ingolstadt,Audi Sportpark,Germany,L1,48.7633802,11.4243,"FC Ingolstadt, Germany",0,FALSE
33,FC Schalke 04,Veltins-Arena,Germany,L1,51.5580635,7.0634587,"FC Schalke 04, Germany",0,FALSE
24,Frankfurt,Deutsche Bank Park,Germany,L1,50.0686103,8.6454154,"Deutsche Bank Park, Frankfurt, Germany",5.3565237309221505,FALSE
60,Freiburg,Europa-Park Stadion,Germany,L1,48.0213778,7.829817,"Europa-Park Stadion, Freiburg, Germany",3.16685477325201,FALSE
65,Greuther Fürth,Sportpark Ronhof | Thomas Sommer,Germany,L1,49.5003763,10.996705,"Greuther Fürth, Germany",0,FALSE
41,Hamburg,Volksparkstadion,Germany,L1,53.5871535,9.8987056,"Volksparkstadion, Hamburg, Germany",7.925997771566791,FALSE
42,Hannover 96,Heinz-von-Heiden-Arena,Germany,L1,52.3744779,9.7385532,"Hannover 96, Germany",0,FALSE
2036,Heidenheim,Voith-Arena,Germany,L1,48.6685245,10.1392963,"Voith-Arena, Heidenheim, Germany",1.356660061539517,FALSE
44,Hertha BSC,Olympiastadion Berlin,Germany,L1,52.5102617,13.3809383,"Hertha BSC, Germany",0,FALSE
533,Hoffenheim,PreZero Arena,Germany,L1,49.2723872,8.8409448,"Hoffenheim, Germany",0,FALSE
269,Holstein Kiel,Holstein-Stadion,Germany,L1,54.3492088,10.1237559,"Holstein-Stadion, Holstein Kiel, Germany",4.172579525287161,FALSE
23826,Leipzig,Red Bull Arena,Germany,L1,51.3457078,12.3482361,"Red Bull Arena, Leipzig, Germany",1.9250206310978808,FALSE
