club_id,lat,lon,geo_query,lat_check,lon_check,dist_km,flag
1025,44.492317,11.3099971,"Stadio Renato Dall’Ara, Bologna, Italy",44.4938203,11.3426327,2.5940230929034405,FALSE
19,45.5707175,10.2369776,"Mario Rigamonti, Brescia, Italy",45.7795805,10.425873,27.4730204457931,FALSE
1390,39.1991949,9.1374283,"Unipol Domus, Cagliari, Italy",39.2171994,9.113311,2.8854611501664573,FALSE
4102,44.7755583,10.8818917,"Sandro Cabassi, Carpi, Italy",44.7835699,10.8854523,0.9341263765767016,FALSE
1429,44.1403668,12.261877,"Orogel Stadium - Dino Manuzzi, Cesena, Italy",44.136352,12.2422442,1.6290633238515178,FALSE
1047,45.8138295,9.0723243,"Giuseppe Sinigaglia, Como, Italy",45.9394759,9.1494101,15.19234371586938,FALSE
4083,39.0792582,17.1162792,"Ezio Scida, Crotone, Italy",39.1873894,16.8782819,23.789742846202653,FALSE
749,43.7245281,10.9583595,"Carlo Castellani, FC Empoli, Italy",43.7194884,10.9458556,1.1505238294925213,FALSE
8970,41.6340108,13.3217978,"Benito Stirpe, Frosinone, Italy",41.6285468,13.5758498,21.12325756978752,FALSE
252,44.4164753,8.9525341,"Luigi Ferraris, Genoa, Italy",44.40726,8.9338624,1.802648955490782,FALSE
398,41.9379589,12.450577,"Olimpico di Roma, Lazio, Italy",41.9801648,12.7667971,26.56513183393867,FALSE
1005,40.3651144,18.2089177,"Ettore Giardiniero, Lecce, Italy",40.1522173,18.2260628,23.717741317805825,FALSE
1210,43.5436,10.3203,reczna korekta,43.5436,10.3203,0,FALSE
2919,45.583112,9.3079276,"Brianteo, Monza, Italy",45.6395418,9.2788304,6.670410202719955,FALSE
6195,40.827969,14.1917953,"Diego Armando Maradona, Napoli, Italy",40.8358846,14.2487679,4.873446152109941,FALSE
130,44.7947582,10.3383727,"Ennio Tardini, Parma, Italy",44.6952006,10.0979869,21.976553650443982,FALSE
2921,42.4553029,14.2296959,"Adriatico, Pescara, Italy",42.3102619,13.957590100000001,27.560871420101503,FALSE
4172,43.7252802,10.4001188,"Cetilar® Arena, Pisa, Italy",43.4714722,10.6797912,36.10654996033522,FALSE
12,41.9379589,12.450577,"Olimpico di Roma, Roma, Italy",41.8933203,12.4829321,5.63954135739911,FALSE
1387,43.3216868,11.326179,"Artemio Franchi, Siena, Italy",43.1672059,11.467561,20.64480983735633,FALSE
416,45.0417211,7.6523627,"Olimpico Grande Torino, Torino, Italy",45.0677551,7.6824892,3.739035898791468,FALSE
607,45.4296908,12.3556755,"Pier Luigi Penzo, Venezia, Italy",45.4046171,12.3105232,4.493723307940958,FALSE
131,41.3808806,2.1228182,"Spotify Camp Nou, Barcelona, Spain",41.3825802,2.177073,4.53052920950533,FALSE
3709,40.3257247,-3.7149326,"Coliseum, Getafe, Spain",40.3070639,-3.7331808,2.5882953613543065,FALSE
12321,41.9714636,2.8308192,"Montilivi, Girona, Spain",41.9793006,2.8199439,1.2520498534519295,FALSE
366,41.6445789,-4.7612638,"José Zorrilla, Real Valladolid, Spain",41.6431218,-4.7610924,0.1626469099658792,FALSE
1049,39.4745279,-0.3581566,"Mestalla, Valencia, Spain",39.4697065,-0.3763353,1.6499025651410184,FALSE
1050,39.9442083,-0.1034046,"La Cerámica, Villarreal, Spain",39.9372616,-0.1004465,0.812563895958826,FALSE
11,51.5584284,-0.1056554,"Arsenal, England",51.5584284,-0.1056554,0,FALSE
405,51.3204175,-2.5063291,"Aston Villa, England",51.3204175,-2.5063291,0,FALSE
