club_id,club_name,stadium_name,country,league_id
1210,Livorno,Armando Picchi,Italy,IT1
2919,Monza,Brianteo,Italy,IT1
6195,Napoli,Diego Armando Maradona,Italy,IT1
458,Palermo,"Comunale Renzo Barbera ""La Favorita""",Italy,IT1
130,Parma,Ennio Tardini,Italy,IT1
2921,Pescara,Adriatico,Italy,IT1
4172,Pisa,Cetilar® Arena,Italy,IT1
12,Roma,Olimpico di Roma,Italy,IT1
2722,SPAL,Paolo Mazza,Italy,IT1
380,Salernitana,Arechi,Italy,IT1
1038,Sampdoria,Luigi Ferraris,Italy,IT1
6574,Sassuolo,Mapei Stadium - Città del Tricolore,Italy,IT1
1387,Siena,Artemio Franchi,Italy,IT1
3522,Spezia Calcio,Alberto Picco,Italy,IT1
416,Torino,Olimpico Grande Torino,Italy,IT1
410,Udinese,Bluenergy Stadium,Italy,IT1
607,Venezia,Pier Luigi Penzo,Italy,IT1
238,Lech Poznan,Enea Poznań,Poland,PL1
4000,Lechia Gdansk,Polsat Plus Arena Gdańsk,Poland,PL1
255,Legia Warszawa,Stadion Miejski im. Marszałka Józefa Piłsudskiego,Poland,PL1
6112,Piast Gliwice,Stadion Miejski - Gliwice,Poland,PL1
7154,Radomiak,Stadion im. Braci Czachorów,Poland,PL1
1108,Alavés,Mendizorroza,Spain,ES1
621,Athletic,San Mamés,Spain,ES1
13,Atlético,Riyadh Air Metropolitano,Spain,ES1
131,Barcelona,Spotify Camp Nou,Spain,ES1
331,CA Osasuna,El Sadar,Spain,ES1
1244,CD Leganés,Ontime Butarque,Spain,ES1
940,Celta de Vigo,Abanca Balaídos,Spain,ES1
2687,Cádiz CF,Nuevo Mirandilla,Spain,ES1
993,Córdoba CF,Nuevo Arcángel,Spain,ES1
897,Dep. La Coruña,Abanca Riazor,Spain,ES1
1531,Elche CF,Manuel Martínez Valero,Spain,ES1
714,Espanyol,RCDE Stadium,Spain,ES1
3709,Getafe,Coliseum,Spain,ES1
12321,Girona,Montilivi,Spain,ES1
16795,Granada CF,Nuevo Los Cármenes,Spain,ES1
3368,Levante,Ciutat de València,Spain,ES1
1084,Málaga CF,La Rosaleda,Spain,ES1
237,RCD Mallorca,Mallorca Son Moix,Spain,ES1
367,Rayo Vallecano,Estadio de Vallecas,Spain,ES1
150,Real Betis,La Cartuja,Spain,ES1
418,Real Madrid,Santiago Bernabéu,Spain,ES1
2497,Real Oviedo,Carlos Tartiere,Spain,ES1
681,Real Sociedad,Anoeta,Spain,ES1
366,Real Valladolid,José Zorrilla,Spain,ES1
142,Real Zaragoza,La Romareda,Spain,ES1
1533,SD Eibar,Ipurua,Spain,ES1
5358,SD Huesca,El Alcoraz,Spain,ES1
368,Sevilla FC,Ramón Sánchez-Pizjuán,Spain,ES1
2448,Sporting Gijón,El Molinón - Enrique Castro Quini,Spain,ES1
3302,UD Almería,Power Horse Stadium,Spain,ES1
472,UD Las Palmas,Estadio de Gran Canaria,Spain,ES1
1049,Valencia,Mestalla,Spain,ES1
1050,Villarreal,La Cerámica,Spain,ES1
